Gene	Inheritance_model
CHNG4	AR
NGF	AR
NGFB	AR
HSAN5	AR
VANGL1	AD
STBM2	AD
CASQ2	AR
ATP1A1	AD
CMT2DD	AD
HOMGSMR2	AD
IGSF3	AR
LCDD	AR
GDAP2	AR
SCAR27	AR
SPAG17	AR
PF6	AR
SPGF55	AR
TBX15	AR
WARS2	AR
NEMMLAS	AR
HSD3B2	AR
PHGDH	AR
NLS1	AR
PHGDHD	AR
HMGCS2	AR
NOTCH2	AD
AGS2	AD,AR
HJCYS	AD
CORD8	AR
DEL1q21	AD
C1DELq21	AD
DFNA49	AD
DUP1q21	AD
C1DUPq21	AD
RFH1	AD
AORF	AD
PEX11B	AR
PEX14B	AR
RBM8A	AR
RBM8B	AR
TAR	AR
C1DELq21.1	AR
DEL1q21.1	AR
POLR3GL	AR
SOFM	AR
HJV	AR
HFE2A	AR
GJA5	AD
CX40	AD
ATFB11	AD
GJA8	AD
CX50	AD
CTRCT1	AD
CZP1	AD
CAE1	AD
NOTCH2NLC	AD
NIID	AD
ETM6	AD
SF3B4	AD
SF3B49	AD
SAP49	AD
AFD1	AD
VPS45	AR
VPS45A	AR
SCN5	AR
PRPF3	AD
HPRP3	AD
RP18	AD
TARS2	AR
COXPD21	AR
ECM1	AR
URBWD	AR
ADAMTSL4	AR
TSRC1	AR
ECTOL2	AR
HRM2	AD
CTSK	AR
PRUNE1	AR
DRES17	AR
NMIHBA	AR
ZNF687	AD
KIAA1441	AD
PDB6	AD
RFX5	AR
SELENBP1	AR
SP56	AR
EHMTO	AR
PSMB4	AR
PRAAS3	AR
POGZ	AD
KIAA0461	AD
MRD37	AD
WHSUS	AD
RORC	AR
RORG	AR
RZRG	AR
IMD42	AR
TCHH	AR
THH	AR
THL	AR
TRHY	AR
UHS3	AR
FLG	AD,AR
ATOD2	AD,AR
FLG2	AR
IFPS	AR
PSS6	AR
LOR	AD
GATAD2B	AD
KIAA1150	AD
p68	AD
GANDS	AD
RPS27	AD
MPS1	AD
DBA17	AD
TPM3	AD,AR
NEM1	AD,AR
CAPM1	AD,AR
HAX1	AR
SCN3	AR
IL6R	AR
IL6RQ	AR
IL6QTL	AR
HIES5	AR
ADAR	AD,AR
DRADA	AD,AR
DSH	AD,AR
DSRAD	AD,AR
IFI4	AD,AR
G1P1	AD,AR
AGS6	AD,AR
KCNN3	AD
SK3	AD
SKCA3	AD
ZLS3	AD
PMVK	AD
PMK	AD
POROK1	AD
FLAD1	AR
FADS	AR
LSMFLAD	AR
DPM3	AR
MDDGC15	AR
MDDGB15	AR
MUC1	AD
PUM	AD
ADTKD2	AD
GBA	AR
PKLR	AD,AR
PK1	AD,AR
FDPS	AD
FPS	AD
POROK9	AD
ASH1L	AD
KIAA1420	AD
ASH1	AD
MRD52	AD
MSTO1	AD,AR
MMYAT	AD,AR
YY1AP1	AR
YAP	AR
HCCA2	AR
GRNG	AR
RIT1	AD
RIT	AD
ROC1	AD
NS8	AD
ARHGEF2	AR
GEFH1	AR
KIAA0651	AR
NEDMHM	AR
LAMTOR2	AR
MAPBPIP	AR
p14,	AR
LMNA	AD,AR
LMN1	AD,AR
EMD2	AD,AR
FPLD2	AD,AR
CMD1A	AD,AR
HGPS	AD,AR
SEMA4A	AD,AR
SEMB	AD,AR
RP35	AD,AR
CORD10	AD,AR
NAXE	AR
APOA1BP	AR
AIBP	AR
PEBEL	AR
NTRK1	AR
TRKA	AR
KIRREL1	AR
NEPH1	AR
