Gene	Inheritance_model
PCH2D	AR
SLC34A2	AR
PULAM	AR
RBPJ	AD
RBPSUH	AD
IGKJRB1	AD
AOS3	AD
WDR19	AR
SRTD5	AR
ATD5	AR
NPHP13	AR
CED4	AR
RFC1	AR
RECC1	AR
CANVAS	AR
LIAS	AR
PDHLD	AR
HGCLAS	AR
UGDH	AR
UDPGDH	AR
DEE84	AR
UCHL1	AR
PARK5	AR
SPG79	AR
NDGOA	AR
PHOX2B	AD
NBPHOX	AD
PMX2B	AD
NBLST2	AD
CCHS	AD
SLC30A9	AR
C4orf1	AR
HUEL	AR
BILAPES	AR
GRXCR1	AR
GUF1	AR
EF4	AR
DEE40	AR
GABRA2	AD
DEE78	AD
GABRB1	AD
DEE45	AD
DFNB55	AR
MRT31	AR
TAPVR1	AD
SGCB	AR
LGMDR4	AR
GSX2	AR
GSH2	AR
DMJDS2	AR
PDGFRA	SM
KIT	AD
PBT	AD
MASTC	AD
SRD5A3	AR
SRD5A2L	AR
CDG1Q	AR
KRIZI	AR
TMEM165	AR
FT27	AR
CDG2K	AR
CEP135	AR
KIAA0635	AR
MCPH8	AR
SRP72	AD
BMFS1	AD
SPINK2	AR
SPGF29	AR
REST	AD
NRSF	AD
WT6	AD
GINGF5	AD
HGF5	AD
DFNA27	AD
IGFBP7	AR
MAC25	AR
RAMSVPS	AR
TECRL	AR
TERL	AR
SRD5A2L2	AR
GPSN2L	AR
CPVT3	AR
ETL3	AD
FMTLE	AD
GNRHR	AR
LHRHR	AR
HH7	AR
AMTN	AD
AI3B	AD
AMBN	AR
AI1F	AR
ENAM	AD,AR
AIH2	AD,AR
AI1C	AD,AR
SLC4A4	AR
NBC1	AR
KNBC	AR
ADAMTS3	AR
HKLLS3	AR
ALB	AR
ANALBA	AR
FDAH	AR
FDAHT	AR
AFP	AR
HPAFP	AR
AFPD	AR
PFM3	AD
ODAPH	AR
C4orf26	AR
SCARB2	AR
CD36L2	AR
LIMPII	AR
AMRF	AR
EPM4	AR
FRAS1	AR
FRASRS1	AR
ANTXR2	AR
CMG2	AR
HFS	AR
PRDM8	AR
EPM10	AR
FGF5	AR
TCMGLY	AR
HNRNPDL	AD
HNRPDL	AD
JKTBP	AD
LGMDD3	AD
SCD5	AD
ACOD4	AD
DFNA79	AD
SEC31A	AR
SEC31L1	AR
KIAA0905	AR
NEDSOSB	AR
COQ2	AR
COQ10D1	AR
MSA1	AR
WDFY3	AD
ALFY	AD
BCHS	AD
MCPH18	AD
DSPP	AD
DPP	AD
DGI1	AD
DFNA39	AD
DTDP2	AD
DMP1	AR
ARHR	AR
ARHP	AR
PKD2	AD
PIGY	AR
HPMRS6	AR
SNCA	AD
NACP	AD
PARK1	AD
PARK4	AD
GRID2	AR
SCAR18	AR
SMARCAD1	AD
KIAA1122	AD
ETL1	AD
HEL1	AD
ADERM	AD
BASNS	AD
HRZ	AD
BMPR1B	AD,AR
ALK6	AD,AR
AMDD	AD,AR
BDA2	AD,AR
BDA1D	AD,AR
ADH5	DR
FDH	DR
AMEDS	DR
BMFS7	DR
TRMT10A	AR
RG9MTD2	AR
MSSGM1	AR
MTTP	AR
OCA5	AR
PPP3CA	AD
PPP2B	AD
CALNA	AD
CNA1	AD
DEE91	AD
ACCIID	AD
SLC39A8	AR
BIGM103	AR
CDG2N	AR
NFKB1	AD
CVID12	AD
MANBA	AR
MANB1	AR
CISD2	AR
WFS2	AR
ZCD2	AR
ERIS	AR
CENPE	AR
MCPH13	AR
TACR3	AR
NK3R	AR
HH11	AR
TET2	AR
KIAA1546	AR
IMD75	AR
PPA2	AR
SCFI	AR
SCFAI	AR
TBCK	AR
IHPRF3	AR
AIMP1	AR
SCYE1	AR
EMAP2	AR
EMAPII	AR
HLD3	AR
SGMS2	AD
SMS2	AD
CDL	AD
CYP2U1	AR
SPG56	AR
HADHSC	AR
SCHAD	AR
HHF4	AR
COL25A1	AR
CLAC	AR
CFEOM5	AR
CFI	AR
FI	AR
AHUS3	AR
ARMD13	AR
LRIT3	AR
FIGLER4	AR
CSNB1F	AR
PITX2	AD
IDG2	AD
RIEG1	AD
RGS	AD
IGDS2	AD
ASGD4	AD
ALPK1	AD
LAK	AD
KIAA1527	AD
ROSAH	AD
LARP7	AR
PIP7S	AR
ALAZS	AR
ANK2	AD
LQT4	AD
PRSS12	AR
BSSP3	AR
MRT1	AR
SEC24D	AR
KIAA0755	AR
CLCRP2	AR
MYOZ2	AD
CMH16	AD
MRT29	AR
PRDM5	AR
BCS2	AR
NDNF	AD
C4orf31	AD
NORD	AD
HH25	AD
EXOSC9	AR
PMSCL1	AR
PCH1D	AR
BBS7	AR
TRPC3	AD
TRP3	AD
SCA41	AD
KIAA1109	AR
ALKKUCS	AR
IL21	AR
CVID11	AR
BBS12	AR
FLJ35630	AR
C4orf24	AR
SPATA5	AR
SPAF	AR
EHLMRS	AR
FAT4	AR
VMLDS2	AR
HKLLS2	AR
INTU	AR
KIAA1284	AR
PDZK6	AR
SRTD20	AR
OFD17	AR
PLK4	AR
STK18	AR
SAK	AR
MCCRP2	AR
MFSD8	AR
MGC33302	AR
CLN7	AR
CCMD	AR
NAA15	AD
NARG1	AD
NATH	AD
MRD50	AD
RAB33B	AR
SMC2	AR
GAB1	AR
DFNB26	AR
MMAA	AR
SLC10A7	AR
SSASKS	AR
TTC29	AR
SPGF42	AR
EDNRA	AD
MFDA	AD
NR3C2	AD
MLR	AD
MCR	AD
LRBA	AR
LBA	AR
CDC4L	AR
CVID8	AR
MAB21L2	AD,AR
MCSKS14	AD,AR
GATB	AR
PET112	AR
COXPD41	AR
TRIM2	AR
KIAA0517	AR
CMT2R	AR
FGB	AR
FGA	AD,AR
RP29	AR
TRIP4q32.1q32.2	AD
C4TRIPq32.1q32.2	AD
FGG	AR
LRAT	AR
LCA14	AR
GUCY1A3	AR
GUC1A3	AR
GUCSA3	AR
MYMY6	AR
GLRB	AR
HKPX2	AR
GRIA2	AD
GLUR2	AD
NEDLIB	AD
ETFDH	AR
MADD	AR
RAPGEF2	AD
NRAPGEP	AD
RAGEF	AD
KIAA0313	AD
MSMO1	AR
SC4MOL	AR
ERG25	AR
MCCPD	AR
CPE	AR
IDDHH	AR
TLL1	AD
TLL	AD
ASD6	AD
NEK1	AR,DR
SRTD6	AR,DR
SRPS2A	AR,DR
ALS24	AR,DR
HPGD	AR
PGDH1	AR
PHOAR1	AR
HMSN5	AD
SCA30	AD
VEGFC	AD
VRP	AD
LMPHM4	AD
AGA	AR
TENM3	AR
ODZ3	AR
TNM3	AR
KIAA1455	AR
MCOPCB9	AR
MCOPS15	AR
DFNA24	AD
DKBI	AD
FSHD1	AD
FSHD1A	AD
TRAPPC11	AR
C4orf41	AR
LGMDR18	AR
CCDC111	AD
MYP22	AD
SLC25A4	AD,AR
ANT1	AD,AR
T1	AD,AR
PEO3	AD,AR
PEO2	AD,AR
MTDPS12A	AD,AR
PEOA2	AD,AR
UFSP2	AD
C4orf20	AD
BHD	AD
SEMDDR	AD
CYP4V2	AR
BCD	AR
KLKB1	AR
KLK3	AR
PKKD	AR
ASD1	AD
MCDR3	AD
SDHA	AD,AR
SDH1	AD,AR
SDHF	AD,AR
CMD1GG	AD,AR
PGL5	AD,AR
MC2DN1	AD,AR
NDAXOA	AD,AR
SLC9A3	AR
NHE3	AR
DIAR8	AR
TRIP13	AR
16E1BP	AR
MVA3	AR
OOMD9	AR
SLC6A19	AD,AR,DR
HND	AD,AR,DR
SLC6A3	AR
DAT1	AR
PKDYS1	AR
NDUFS6	AR
MC1DN9	AR
NSUN2	AR
TRM4	AR
SAKI	AR
MISU	AR
MRT5	AR
MTRR	AR
CCT5	AR
KIAA0098	AR
CCTE	AR
MARCH6	AD
TEB4	AD
DOA10	AD
KIAA0597	AD
FAME3	AD
TRIO	AD
MRD44	AD
MRD63	AD
OTULIN	AR
FAM105B	AR
GUM	AR
AIPDS	AR
ANKH	AD
HANK	AD
ANK	AD
CMDJ	AD
CCAL2	AD
CPPDD	AD
MYP19	AD
FAM134B	AR
HSAN2B	AR
BDA1B	AD
TARS1	AR
TARS	AR
TTD7	AR
SLC45A2	AR
MATP	AR
AIM1	AR
SHEP5	AR
OCA4	AR
AMACR	AR
CBAS4	AR
AMACRD	AR
DNAJC21	AR
DNAJA5	AR
BMFS3	AR
PRLR	AD,AR
MFAB	AD,AR
HPRL	AD,AR
SPEF2	AR
KPL2	AR
KIAA1770	AR
SPGF43	AR
IL7R	AR
IL7RA	AR
CD127	AR
NADK2	AR
C5orf33	AR
DECRD	AR
SLC1A3	AD
EAAT1	AD
EA6	AD
NIPBL	AD
CDLS1	AD
CPLANE1	AR
C5orf42	AR
JBTS17	AR
OFD6	AR
NUP155	AR
KIAA0791	AR
ATFB15	AR
GDNF	AD
HSCR3	AD
LIFR	AR
STWS	AR
SWS	AR
SJS2	AR
OSMR	AD
OSMRB	AD
PLCA1	AD
FYB1	AR
SLAP130	AR
ADAP	AR
THC3	AR
OXCT1	AR
OXCT	AR
SCOT	AR
GHR	AD,AR
GHIP	AD,AR
NNT	AR
GCCD4	AR
FGF10	AD
HCN1	AD
BCNG1	AD
DEE24	AD
GEFSP10	AD
BDPLT9	AD
MOCS2	AR
MPTS	AR
MOCODB	AR
NDUFS4	AR
AQDQ	AR
MC1DN1	AR
HSPB3	AD
HSPL27	AD
HMN2C	AD
DHMN2C	AD
MCIDAS	AR
IDAS	AR
CILD42	AR
CCNO	AR
UNG2	AR
CILD29	AR
IL31RA	AD
GLMR	AD
GPL	AD
PLCA2	AD
IL6ST	AR
HIES4	AR
MAP3K1	AD
MEKK1	AD
MEKK	AD
SRXY6	AD
PDE4D	AD
DPDE3	AD
ACRDYS2	AD
DEL5q12	AD
C5DELq12	AD
EJM4	AD
ERCC8	AR
CKN1	AR
CSA	AR
UVSS2	AR
NDUFAF2	AR
NDUFA12L	AR
MMTN	AR
B17.2L	AR
MC1DN10	AR
ZSWIM6	AD
KIAA1577	AD
AFND	AD
NEDMAGA	AD
KIF2A	AD
CDCBM3	AD
HTR1A	AD
ADRB2RL1	AD
PFMCD	AD
CWC27	AR
SDCCAG10	AR
RPSKA	AR
PIK3R1	AD,AR
GRB1	AD,AR
AGM7	AD,AR
SHORT	AD,AR
IMD36	AD,AR
MARVELD2	AR
MARVD2	AR
TRIC	AR
DFNB49	AR
OCLN	AR
BLCPMG	AR
PTORCH1	AR
SMN1	AR
SMA1	AR
SMA2	AR
SMA3	AR
SMA4	AR
BDP1	AR
TFNR	AR
DFNB112	AR
MCCC2	AR
MCCB	AR
MAP1B	AD
PVNH9	AD
HEXB	AR
GFM2	AR
EFG2	AR
RRF	AR
COL4A3BP	AD
GPBP	AD
CERT	AD
MRD34	AD
PDE8B	AD
PPNAD3	AD
ADSD	AD
HBT	AD
KTCN5	AD
AP3B1	AR
ADTB3A	AR
HPS2	AR
ARSB	AR
MPS6	AR
DMGDH	AR
DMGDHD	AR
DHFR	AR
MSH3	AR
FAP4	AR
RPS23	AD
BTDD	AD
MCINS	AD
XRCC4	AR
SSMED	AR
VCAN	AD
CSPG2	AD
WGN	AD
WGN1	AD
ERVR	AD
RASA1	AD
GAP	AD
CMAVM1	AD
PKWS	AD
MEF2C	AD
C5DELq14.3	AD
DEL5q14.3	AD
ADGRV1	AD,AR
GPR98	AD,AR
MASS1	AD,AR
VLGR1	AD,AR
KIAA0686	AD,AR
FEB4	AD,AR
USH2C	AD,AR
NR2F1	AD
TFCOUP1	AD
ERBAL3	AD
EAR3	AD
BBSOAS	AD
KIAA0825	AR
PAPA10	AR
TTC37	AR
KIAA0372	AR
PCSK1	AR
NEC1	AR
PC1	AD,AR
PC3	AD,AR
BMIQ12	AR
CAST	AR
PLACK	AR
CHD1	AD
PILBOS	AD
PPIP5K2	AR
HISPPD1	AR
VIP2	AR
KIAA0433	AR
DFNB100	AR
MDBS2	AD
GLC1M	AD
SLC25A46	AR
HMSN6B	AR
PCH1E	AR
APC	AD
GS	AD
FPC	AD
BTPS2	AD
DESMD	AD
TRIM36	AR
RBCC728	AR
ANPH	AR
HSD17B4	AR
PRLTS1	AR
LOX	AD
AAT10	AD
PRDM6	AD
PRISM	AD
PDA3	AD
CEP120	AR
CCDC100	AR
SRTD13	AR
JBTS31	AR
ALDH7A1	AR
ATQ1	AR
EPD	AR
PDE	AR
LMNB1	AD
ADLD	AD
MCPH26	AD
MEGF10	AR
KIAA1780	AR
EMARDD	AR
SLC12A2	AD,AR
NKCC1	AD,AR
KILQS	AD,AR
FBN2	AD
CCA	AD
EOMD	AD
HINT1	AR
PRKCNH1	AR
NMAN	AR
LYRM7	AR
MZM1L	AR
MC3DN8	AR
DFNA52	AD
DFNA42	AD
DFNA54	AD
EOS	AD
PDB4	AD
P4HA2	AD
MYP25	AD
SLC22A5	AR
OCTN2	AR
CDSP	AR
SCD	AR
RAD50	AR
NBSLD	AR
GDF9	AR
POF14	AR
UQCRQ	AR
QPC	AR
MC3DN4	AR
AFF4	AD
AF5Q31	AD
CHOPS	AD
PPP2CA	AD
NEDLBA	AD
SAR1B	AR
CMRD	AR
SARA2	AR
ANDD	AR
PITX1	AD
PTX1	AD
BFT	AD
POTX	AD
CCF	AD
LBNBG	AD
TGFBI	AD
CSD2	AD
CDGG1	AD
CSD	AD
BIGH3	AD
CDG2	AD
EBMD	AD
KLHL3	AD,AR
PHA2D	AD,AR
MYOT	AD
TTOD	AD
MFM3	AD
KDM3B	AD
C5orf7	AD
KIAA1082	AD
JMJD1B	AD
DIJOS	AD
REEP2	AD,AR
C5orf19	AD,AR
SPG72	AD,AR
HSPA9	AD,AR
HSPA9B	AD,AR
MOT2	AD,AR
GRP75	AD,AR
EVPLS	AD,AR
SIDBA4	AD,AR
CTNNA1	AD
MDPT2	AD
SIL1	AR
BAP	AR
MSS	AR
MATR3	AD
MPD2	AD
ALS21	AD
STING1	AD
TMEM173	AD
MPYS	AD
SAVI	AD
PURA	AD
PUR1	AD
MRD31	AD
NDUFA2	AR
MC1DN13	AR
HARS1	AD,AR
HARS	AD,AR
USH3B	AD,AR
CMT2W	AD,AR
HARS2	AR
HARSL	AR
HARSR	AR
HO3	AR
PRLTS2	AR
DIAPH1	AD,AR
DFNA1	AD,AR
LFHL1	AD,AR
SCBMS	AD,AR
PCDH12	AR
VECAD2	AR
DMJDS1	AR
SPRY4	AD
HH17	AD
NR3C1	AD
GCR	AD
GRL	AD
GCRST	AD
YIPF5	AR
SMAP5	AR
YIP1A	AR
MEDS2	AR
GRXCR2	AR
DFNB101	AR
LARS1	AR
LARS	AR
LFIS	AR
ILFS1	AR
POU4F3	AD
BRN3C	AD
PPP2R2B	AD
SPINK1	AD,AR
PSTI	AD,AR
PCTT	AD,AR
TATI	AD,AR
TCP	AD,AR
SPINK5	AR
LEKTI	AR
FBXO38	AD
FBX38	AD
MOKA	AD
HMN2D	AD
SH3TC2	AD,AR
KIAA1985	AD,AR
MNMN	AD,AR
SLC26A2	AR
DTD	AR
DTDST	AR
D5S1708	AR
EDM4	AR
CSF1R	AD,AR
FMS	AD,AR
HDLS	AD,AR
BANDDOS	AD,AR
PDGFRB	AD
PDGFR	AD
IBGC4	AD
IMF1	AD
PENTT	AD
KOGS	AD
CAMK2A	AD,AR
KIAA0968	AD,AR
CAMKA	AD,AR
MRD53	AD,AR
MRT63	AD,AR
TCOF1	AD
MFD1	AD
TCS1	AD
NDST1	AR
HSST	AR
MRT46	AR
GM2A	AR
SLC36A2	AD,AR,DR
PAT2	AD,AR,DR
FAT2	AD
MEGF1	AD
SCA45	AD
SPARC	AR
ON	AR
OI17	AR
GLRA1	AD,AR
STHE	AD,AR
HKPX1	AD,AR
GEMIN5	AR
NEDCAM	AR
SGCD	AR
SGD	AR
LGMDR6	AR
CMD1L	AR
HAVCR2	AR
TIM3	AR
SPTCL	AR
ITK	AR
EMT	AR
LPFS1	AR
CYFIP2	AD
DEE65	AD
NIPAL4	AR
ICHYN	AR
ARCI6	AR
THG1L	AR
THG1	AR
ICF45	AR
IHG1	AR
SCAR28	AR
IL12B	AR
NKSF2	AR
IMD29	AR
GABRB2	AD
DEE92	AD
GABRA1	AD
EJM5	AD
ECA4	AD
DEE19	AD
GABRG2	AD
DEE74	AD
FEB8	AD
GEFSP3	AD
RARS1	AR
RARS	AR
HLD9	AR
DOCK2	AR
IMD40	AR
FOXI1	AR
FKHL10	AR
FREAC6	AR
LCP2	AR
SLP76	AR
IMD81	AR
FBXW11	AD
FBXW1B	AD
BTRC2	AD
BTRCP2	AD
NEDJED	AD
SH3PXD2B	AR
TKS4	AR
KIAA1295	AR
FTHS	AR
ERGIC1	AR
ERGIC32	AR
KIAA1181	AR
AMC2	AR
NKX2-5	AD
NKX2E	AD
CSX	AD
CHNG5	AD
VSD3	AD
HLHS2	AD
MSX2	AD
CRS2	AD
HOX8	AD
SNCB	AD
NSD1	AD
ARA267	AD
STO	AD
SOTOS1	AD
SLC34A1	AD,AR
SLC17A2	AD,AR
NPT2	AD,AR
NPHLOP1	AD,AR
FRTS2	AD,AR
HCINF2	AD,AR
F12	AD,AR
HAF	AD,AR
HAE3	AD,AR
B4GALT7	AR
XGALT1	AR
XGPT1	AR
EDSSPD1	AR
PROP1	AR
CPHD2	AR
NOLA2	AR
NHP2	AR
DKCB2	AR
GRM6	AR
MGLUR6	AR
CSNB1B	AR
ADAMTS2	AR
NPI	AR
EDSDERMS	AR
LTC4S	AR
SQSTM1	AD,AR
P62	AD,AR
PDB3	AD,AR
FTDALS3	AD,AR
NADGP	AD,AR
DMRV	AD,AR
FLT4	AD
VEGFR3	AD
PCL	AD
LMPHM1	AD
CHTD7	AD
EXOC2	AR
SEC5L1	AR
SEC5	AR
NEDFACH	AR
FOXC1	AD
FKHL7	AD
FREAC3	AD
IRID1	AD
RIEG3	AD
ASGD3	AD
SERPINB6	AR
PI6	AR
PTI	AR
SPI3	AR
DFNB91	AR
RIPK1	AD,AR
RIP1	AD,AR
RIP	AD,AR
IMD57	AD,AR
AIEFL	AD,AR
TUBB2A	AD
CDCBM5	AD
TUBB2B	AD
CDCBM7	AD
LYRM4	AR
ISD11	AR
C6orf149	AR
COXPD19	AR
FARS2	AR
FARS1	AR
COXPD14	AR
SPG77	AR
F13A1	AR
F13A	AR
OFC1	AD
CL	AD
DSP	AD,AR
KPPS2	AD,AR
PPKS2	AD,AR
DCWHKTA	AD,AR
BLOC1S5	AR
BLOS5	AR
MUTED	AR
HPS11	AR
TFAP2A	AD
AP2TF	AD
BOFS	AD
GCNT2	AD,AR
Ii	AD,AR
CTRCT13	AD,AR
MAK	AR
RP62	AR
GCM2	AD,AR
GCMB	AD,AR
HRPT4	AD,AR
FIH2	AD,AR
DFNA21	AD
EDN1	AD,AR
ARCND3	AD,AR
QME	AD,AR
HDLCQ7	AD,AR
PHACTR1	AD
KIAA1733	AD
DEE70	AD
TBC1D7	AR
PIG51	AR
TBC7	AR
MGCPH	AR
SCAR3	AR
SCABD	AR
OTSC3	AD
DTNBP1	AR
HPS7	AR
ATXN1	AD
ATX1	AD
SCA1	AD
NHLRC1	AR
EPM2A	AR
EPM2B	AR
SOX4	AD
CSS10	AD
DCDC2	AR
RU2	AR
KIAA1154	AR
NPHP19	AR
DFNB66	AR
NSC	AR
ALDH5A1	AR
SSADH	AR
TDP2	AR
TTRAP	AR
GMNN	AD
MGORS6	AD
RIPOR2	AR
FAM65B	AR
C6orf32	AR
KIAA0386	AR
PL48	AR
DFNB104	AR
HFE	AR
HLA-H	AR
HFE1	AR
MVCD7	AR
TFQTL2	AR
HIST1H1E	AD
H1F4	AD
RMNS	AD
MOG	AD
NRCLP7	AD
ZFP57	AD
TNDM1	AD
ATPLS	AD
DFNA31	AD
IGAD1	AD,AR
LAP	AD
PBCA	AR
RWS	AD
DHX16	AD
DDX16	AD
DBP2	AD
PRP8	AD
NMOAS	AD
TUBB	AD
TUBB5	AD
M40	AD
CDCBM6	AD
CSCSC1	AD
VARS2	AR
KIAA1885	AR
COXPD20	AR
CDSN	AD,AR
HTSS1	AD,AR
HYPT2	AD,AR
PSS1	AD,AR
CSNK2B	AD
POBINDS	AD
G6B	AR
C6orf25	AR
THAMY	AR
MSH5	AR
POF13	AR
VARS1	AR
VARS	AR
G7A	AR
NDMSCA	AR
NEU1	AR
NEU	AR
SIAL1	AR
SLC44A4	AD
CTL4	AD
C6orf29	AD
DFNA72	AD
C2	AR
ARMD14	AR
CFB	AR
BF	AR
GBG	AR
AHUS4	AR
CFBD	AR
SKIV2L	AR
SKI2	AR
SKI2W	AR
THES2	AR
C4A	AR
C4S	AR
C4AD	AR
CYP21A2	AR
CYP21	AR
CA21H	AR
TNXB	AD,AR
TNX	AD,AR
TNXB1	AD,AR
TNXBS	AD,AR
TNXB2	AD,AR
EDSCLL1	AD,AR
VUR8	AD,AR
TAP2	AR
ABCB3	AR
PSF2	AR
RING11	AR
PSMB8	AR
LMP7	AR
RING10	AR
JMP	AR
NKJO	AR
ALDD	AR
PRAAS1	AR
TAP1	AR
ABCB2	AR
RING4	AR
PSF1	AR
PSMB9	AR
LMP2	AR
RING12	AR
COL11A2	AD,AR
DFNA13	AD,AR
DFNB53	AD,AR
FBCG2	AD,AR
OSMEDA	AD,AR
OSMEDB	AD,AR
TAPBP	AR
TPSN	AR
SYNGAP1	AD
MRD5	AD
UQCC2	AR
C6orf126	AR
M19	AR
MC3DN7	AR
LEMD2	AD,AR
NET25	AD,AR
MARUPS	AD,AR
RPS10	AD
DBA9	AD
SCUBE3	AR
SSFSC2	AR
FANCE	AR
FACE	AR
TULP1	AR
RP14	AR
LCA15	AR
LHFPL5	AR
TMHS	AR
DFNB67	AR
SLC26A8	AD
TAT1	AD
SPGF3	AD
PNPLA1	AR
ARCI10	AR
PPIL1	AR
CYPL1	AR
PCH14	AR
DNAH8	AR
HDHC9	AR
SPGF46	AR
DAAM2	AR
KIAA0381	AR
NPHS24	AR
MOCS1	AR
MOCODA	AR
PPR1	AD
TREM2	AR
PLOSL2	AR
GUCA1A	AD
GCAP	AD
COD3	AD
CORD14	AD
PRPH2	AD,AR
DS	AD,AR
RP7	AD,AR
PRPH	AD,AR
AVMD	AD,AR
AOFMD	AD,AR
CACD2	AD,AR
MDBS1	AD,AR
CNPY3	AR
TNRC5	AR
PRAT4A	AR
ERDA5	AR
DEE60	AR
GNMT	AR
PEX6	AD,AR
PXAAA1	AD,AR
PAF2	AD,AR
PBD4A	AD,AR
PDB4B	AD,AR
HMLR2	AD,AR
PPP2R5D	AD
MRD35	AD
CUL7	AR
3M1	AR
POLR1C	AR
RPA39	AR
RPA40	AR
RPAC1	AR
RPA5	AR
TCS3	AR
HLD11	AR
POLH	AR
XPV	AR
GTPBP2	AR
JABELS	AR
AARS2	AR
KIAA1270	AR
MTALARS	AR
COXPD8	AR
LKENP	AR
RUNX2	AD
CBFA1	AD
PEBP2A1	AD
AML3	AD
CCD	AD
CLCD	AD
CLIC5	AR
DFNB103	AR
NYS2	AD
NYSA	AD
PLA2G7	AR
PAFAH	AR
PAFAD	AR
MMUT	AR
MUT	AR
MCM	AR
RHAG	AD
RH50A	AD
OHST	AD
RHNR	AD
TFAP2B	AD
CHAR	AD
PDA2	AD
FCYT	AR
PKHD1	AR
ARPKD	AR
PKD4	AR
MRT24	AR
ICK	AR
KIAA0936	AR
ECO	AR
EJM10	AR
ELOVL5	AD
HELO1	AD
SCA38	AD
GCLC	AR
GLCLC	AR
DST	AR
BPAG1	AR
DMH	AR
D6S1101	AR
HSAN6	AR
EBSB2	AR
RAB23	AR
BPPV	AD
MRT30	AR
EYS	AR
RP25	AR
OTSC7	AD
LMBRD1	AR
LMBD1	AR
NESI	AR
MAHCF	AR
COL9A1	AD
EDM6	AD
STL4	AD
RIMS1	AD
RIM1	AD
RIM	AD,AR
KIAA0340	AD
CORD7	AD
KCNQ5	AD
MRD46	AD
KHDC3L	AR
C6orf221	AR
ECAT1	AR
HYDM2	AR
MTO1	AR
COXPD10	AR
SLC17A5	AR
SIASD	AR
SLD	AR
COL12A1	AD,AR
UCMD2	AD,AR
BTHLM2	AD,AR
EDSMYP	AD,AR
MYO6	AD,AR
DFNA22	AD,AR
DFNB37	AD,AR
IMPG1	AD
IPM150	AD
VMD4	AD
PHIP	AD
CHUJANS	AD
DIDOD	AD
LCA5	AR
C6orf152	AR
ELOVL4	AD,AR
ADMD	AD,AR
STGD2	AD,AR
STGD3	AD,AR
ISQMR	AD,AR
SCA34	AD,AR
BCKDHB	AR
E1B	AR
TENT5A	AR
FAM46A	AR
C6orf37	AR
OI18	AR
PGM3	AR
AGM1	AR
IMD23	AR
RIPPLY2	AR
C6orf59	AR
SCDO6	AR
TBX18	AD
CAKUT2	AD
NT5E	AR
NT5	AR
SNX14	AR
SCAR20	AR
ZNF292	AD
ZFP292	AD
KIAA0530	AD
MRD64	AD
SLC35A1	AR
CST	AR
CDG2F	AR
RARS2	AR
RARSL	AR
PCH6	AR
BACH2	AD
IMD60	AD
MAP3K7	AD
TAK1	AD
CSCF	AD
FMD2	AD
NDUFAF4	AR
HRPAP20	AR
C6orf66	AR
MC1DN15	AR
FBXL4	AR
FBL4	AR
MTDPS13	AR
LMPHM2	AD
USP45	AR
LCA19	AR
DHS6S1	AD
MCDR1	AD
PBCRA	AD
GRIK2	AR
GLUR6	AR
MRT6	AR
HACE1	AR
KIAA1320	AR
SPPRS	AR
BVES	AR
HBVES	AR
POPDC1	AR
LGMDR25	AR
POPDC3	AR
POP3	AR
LGMDR26	AR
ATG5	AR
APG5	AR
APG5L	AR
ASP	AR
SCAR25	AR
RTN4IP1	AR
NIMP	AR
OPA10	AR
QRSL1	AR
GATA	AR
COXPD40	AR
PDSS2	AR
DLP1	AR
C6orf210	AR
COQ10D3	AR
SOBP	AR
JXC1	AR
MRAMS	AR
SEC63	AD
PCLD2	AD
OSTM1	AR
GL	AR
OPTB5	AR
ARMC2	AR
SPGF38	AR
CD164	AD
DFNA66	AD
ZBTB24	AR
PATZ2	AR
ZNF450	AR
KIAA0441	AR
ICF2	AR
FIG4	AD,AR
KIAA0274	AD,AR
SAC3	AD,AR
ALS11	AD,AR
YVS	AD,AR
BTOP	AD,AR
WASF1	AD
WAVE	AD
WAVE1	AD
SCAR1	AD
NEDALVS	AD
CDC40	AR
PRP17	AR
PCH15	AR
CDK19	AD
KIAA1028	AD
DEE87	AD
TRAF3IP2	AR
C6orf5	AR
ACT1	AR
CIKS	AR
C6orf4	AR
C6orf6	AR
PSORS13	AR
CANDF8	AR
CCN6	AR
WISP3	AR
PPAC	AR
PPRD	AR
LAMA4	AD
LAMA3	AD,AR
CMD1JJ	AD
FEB5	AD
COL10A1	AD
DSE	AR
SART2	AR
EDSMC2	AR
TSPYL1	AR
TSPYL	AR
SIDDT	AR
RFX6	AR
RFXDC1	AR
MTCHRS	AR
NUS1	AD,AR
NGBR	AD,AR
C6orf68	AD,AR
CDG1AA	AD,AR
MRD55	AD,AR
HBFQTL2	AD
FCP	AD,XL
CEP85L	AD
C6orf204	AD
LIS10	AD
PLN	AD
PLB	AD
CMD1P	AD
CMH18	AD
MCM9	AR
MCMDC1	AR
ODG4	AR
GJA1	AD,AR
CX43	AD,AR
ODDD	AD,AR
SDTY3	AD,AR
ODOD	AD,AR
HSS	AD,AR
AVSD3	AD,AR
HLHS1	AD,AR
CMDR	AD,AR
EKVP3	AD,AR
TRDN	AR
TDN	AR
CPVT5	AR
LAMA2	AR
LAMM	AR
MDC1A	AR
RP63	AD
SPG25	AR
ARG1	AR
MED23	AR
MRT18	AR
ENPP1	AD,AR
PDNP1	AD,AR
NPPS	AD,AR
M6S1	AD,AR
PCA1	AD,AR
ARHR2	AD,AR
COLED	AD,AR
EYA4	AD
DFNA10	AD
CMD1J	AD
AHI1	AR
PEX7	AR
